               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1078,            0.053796,            0.028265,           0.0065741,              0.5469,            0.010145,           0.0028388,            0.077595,            0.044128,            0.023021,              0.0883,              0.0013,              0.0013
                   1,            0.084823,            0.068207,            0.026508,            0.013164,             0.95351,            0.071154,            0.022175,            0.054395,            0.048798,             0.02217,            0.075673,           0.0026733,           0.0026733
                   2,            0.068265,            0.066951,            0.025564,             0.23175,              0.5178,             0.22558,            0.092047,            0.049533,            0.041746,             0.02127,            0.063019,           0.0040188,           0.0040188
                   3,            0.069639,            0.057373,             0.02447,             0.27215,              0.5151,             0.28735,            0.088377,            0.049559,             0.04084,            0.019982,            0.050337,           0.0053367,           0.0053367
                   4,            0.069225,            0.052006,            0.023084,             0.33138,             0.36995,             0.31209,            0.099516,            0.056532,            0.036914,            0.018694,            0.037627,           0.0066268,           0.0066268
                   5,            0.065031,            0.051895,            0.021274,             0.27797,             0.41427,             0.28236,            0.094503,            0.055382,            0.026014,            0.015472,            0.024889,           0.0078891,           0.0078891
                   6,            0.077545,            0.047683,             0.01834,             0.31134,             0.54555,             0.34031,             0.11018,            0.058685,            0.024064,            0.014164,            0.012124,           0.0091238,           0.0091238
                   7,            0.070562,            0.045753,            0.015612,             0.32703,             0.64682,             0.37485,            0.087673,            0.054933,            0.024776,           0.0098722,            0.009307,            0.009307,            0.009307
                   8,            0.077186,            0.035067,            0.011848,             0.46853,             0.56189,             0.48158,             0.17073,            0.054371,            0.020587,           0.0059734,            0.009307,            0.009307,            0.009307
                   9,            0.076329,            0.038671,           0.0092139,             0.58724,              0.7252,             0.72696,             0.29801,            0.052423,            0.020841,           0.0038792,            0.009208,            0.009208,            0.009208
                  10,            0.071072,             0.03866,           0.0070217,             0.53433,             0.58836,             0.59955,             0.18938,            0.055021,            0.022606,           0.0030591,            0.009109,            0.009109,            0.009109
                  11,            0.076916,            0.033819,           0.0054677,             0.39212,             0.55266,              0.3735,            0.095152,            0.067154,            0.021012,           0.0021775,             0.00901,             0.00901,             0.00901
                  12,            0.072199,            0.033253,           0.0058903,             0.50384,              0.6043,              0.5707,             0.18302,            0.058482,            0.020282,           0.0021387,            0.008911,            0.008911,            0.008911
                  13,            0.062756,            0.033412,            0.004869,               0.472,             0.73674,             0.65324,             0.26714,            0.046462,             0.02166,           0.0024273,            0.008812,            0.008812,            0.008812
                  14,            0.060008,            0.032119,            0.005177,             0.50853,              0.7334,             0.59722,             0.24862,            0.047571,            0.021109,           0.0027584,            0.008713,            0.008713,            0.008713
                  15,            0.058477,            0.036597,           0.0054623,             0.75459,             0.86662,             0.84912,             0.27736,            0.044804,            0.020158,           0.0031599,            0.008614,            0.008614,            0.008614
                  16,            0.052304,            0.035353,           0.0057956,             0.71011,             0.90085,             0.85766,                0.32,            0.037516,            0.019779,           0.0028864,            0.008515,            0.008515,            0.008515
                  17,            0.052943,            0.033204,           0.0051567,             0.70992,             0.91054,             0.86008,             0.41172,            0.036113,            0.018317,           0.0022891,            0.008416,            0.008416,            0.008416
                  18,             0.04997,             0.03199,           0.0042525,             0.62164,             0.92577,             0.82471,             0.45752,            0.038152,            0.018749,           0.0020259,            0.008317,            0.008317,            0.008317
                  19,            0.049604,            0.031058,           0.0038087,             0.75464,             0.93645,             0.93581,             0.51866,            0.035904,            0.017304,            0.001793,            0.008218,            0.008218,            0.008218
                  20,            0.043055,            0.029317,           0.0036644,             0.74658,             0.91981,             0.93149,             0.43864,            0.035361,            0.017892,           0.0015107,            0.008119,            0.008119,            0.008119
                  21,            0.041873,            0.026719,           0.0030757,             0.61042,             0.92876,             0.74045,              0.3417,            0.034438,            0.017661,           0.0013141,             0.00802,             0.00802,             0.00802
                  22,            0.042514,            0.029034,           0.0026338,              0.7449,             0.98351,              0.9329,             0.53526,            0.028866,            0.016385,           0.0012724,            0.007921,            0.007921,            0.007921
                  23,            0.043301,            0.026943,           0.0024374,              0.6126,             0.90583,             0.79442,             0.43025,            0.041599,             0.01687,           0.0011856,            0.007822,            0.007822,            0.007822
                  24,            0.043131,            0.029696,           0.0023255,             0.62663,              0.9161,             0.79749,               0.453,            0.030492,            0.016714,           0.0012376,            0.007723,            0.007723,            0.007723
                  25,            0.042683,            0.027316,           0.0025058,             0.78961,             0.94855,             0.94147,              0.5631,            0.026082,            0.016131,           0.0012998,            0.007624,            0.007624,            0.007624
                  26,            0.040235,            0.029237,           0.0024774,             0.74579,             0.96551,             0.89358,             0.50657,            0.028255,             0.01603,           0.0012785,            0.007525,            0.007525,            0.007525
                  27,            0.040289,            0.027177,           0.0028685,             0.76216,             0.96033,             0.92545,             0.52743,            0.026448,            0.015992,           0.0013777,            0.007426,            0.007426,            0.007426
                  28,            0.038567,            0.025602,           0.0027884,             0.73051,             0.93684,             0.83388,             0.54738,            0.033619,            0.015873,           0.0013991,            0.007327,            0.007327,            0.007327
                  29,            0.037082,            0.025874,           0.0027095,             0.80518,              0.9591,             0.91834,             0.63292,            0.026912,             0.01541,           0.0014462,            0.007228,            0.007228,            0.007228
                  30,            0.037218,            0.024338,           0.0030444,             0.95217,             0.98944,             0.98614,             0.64804,            0.026356,            0.015234,            0.001362,            0.007129,            0.007129,            0.007129
